ID;Gown;Weight;Reusable;Woven;Type;Longevity;Price;Comfort;Hygiene;Local FTE;Production-Total-Cost;Production-Total-CO2;Production-Total-Energy;Production-Total-Water;Production-Total-Recipe;Production-Raw-Cost;Production-Raw-CO2;Production-Raw-Energy;Production-Raw-Water;Production-Raw-Recipe;Production-Advanced-Cost;Production-Advanced-CO2;Production-Advanced-Energy;Production-Advanced-Water;Production-Advanced-Recipe;Production-Transport-Cost;Production-Transport-CO2;Production-Transport-Energy;Production-Transport-Water;Production-Transport-Recipe;Use-Total-Cost;Use-Total-CO2;Use-Total-Energy;Use-Total-Water;Use-Total-Recipe;LOST-Total-Cost;LOST-Total-CO2;LOST-Total-Energy;LOST-Total-Water;LOST-Total-Recipe;EOL-Total-Cost;EOL-Total-CO2;EOL-Total-Energy;EOL-Total-Water;EOL-Total-Recipe
GW001;Lyocell;300;TRUE;TRUE;Regular;80;6;4;5;0,01;6;3,248504084;52,35477153;150,07224;0,0643051;0;2,566405489;41,10339;116,18864;0,050061492;0;0,45;7,66;21,44;0,01;0;0,23;3,59;12,45;0,01;0,5;0,00408;0,0558;2,82;0;0;-0,364185158;-5,1431097;-1,66E-05;-0,006674007;0;-0,200301841;-2,82871026;-8,55E-06;-0,003477224
GW002;Org Cotton;300;TRUE;TRUE;Bio;80;6;5;3;0,01;6;2,719586856;45,19691253;472,3326;0,071210622;0;0,086713437;1,43921976;179,79468;0,010203767;0;2,4;40,17;280,09;0,06;0;0,23;3,59;12,45;0,01;0,5;0,00414;0,0558;4,32;0;0;-0,366629368;-5,1776271;-1,66E-05;-0,006684937;0;-0,20164615;-2,84769489;-8,51E-06;-0,003466698
GW003;Cotton;300;TRUE;TRUE;Regular;80;6;5;4;0,01;6;3,130995117;51,20502534;476,06044;0,080927834;0;0,301920113;4,5840918;173,236;0,015334819;0;2,6;43,03;290,38;0,06;0;0,23;3,59;12,45;0,01;0,5;0,00414;0,0558;4,32;0;0;-0,366629368;-5,1776271;-1,66E-05;-0,006684937;0;-0,20164615;-2,84769489;-8,51E-06;-0,003466698
GW004;R-Cotton;300;TRUE;TRUE;Recycled;80;6;5;3;0,01;6;1,20987693;19,64729875;199,74228;0,042913807;0;0,09987693;1,51729875;92,88228;0,012913807;0;0,88;14,54;94,41;0,02;0;0,23;3,59;12,45;0,01;0,5;0,00414;0,0558;4,32;0;0;-0,366629368;-5,1776271;-1,66E-05;-0,006684937;0;-0,20164615;-2,84769489;-8,51E-06;-0,003466698
GW005;Polyester;300;TRUE;TRUE;Regular;80;6;4;4;0,01;6;4,59;53,82;23,28;0,109802936;0;0,657;22,20021;46,8;0,018516365;0;4,15;65,53;197,35;0,09;0;0,23;3,59;12,45;0,01;0,5;0,0039;0,0522;2,82;0;0;-0,018053416;-8,0080632;-1,10E-05;-0,001618365;0;0,236876211;-4,4078865;1,55E-06;0,00335441
GW006;r-Polyester;300;TRUE;TRUE;Recycled;80;6;4;4;0,01;6;2,136;26,94;40,98;0,102696044;0;0,378991805;4,9639149;21,1;0,011409473;0;4,15;65,53;197,35;0,09;0;0,23;3,59;12,45;0,01;0,5;0,0039;0,0522;2,82;0;0;0,119457744;-8,0149668;-6,68E-06;0,000774386;0;0,374876211;-4,4078865;5,89E-06;0,005756696
GW007;PP-disposable;40;FALSE;FALSE;Regular;1;0,8;1;3;0;0,8;0,1592;3,672;1,164;0,005116059;0;0,1592;3,672;1,164;0,002209835;0;0;0;0;0;0;0,03;0,48;1,66;0;0;0;0;0;0;0;-0,013523623;-1,96473688;-2,95E-06;-0,000545191;0;0,049080379;-1,08062832;1,29E-07;0,000675992
GW008;PET-Elastane (82-18);230;TRUE;TRUE;Regular;80;6;3;3;0,01;6;3,643100166;59,87820518;172,9048;0,074724758;0;0,456395516;6,804491999;25,4;0,011852305;0;3,01;50,32;147,45;0,06;0;0,17;2,75;9,54;0;0,5;0,004457743;0,075530479;1,4619375;0;0;0,089848085;-6,460357799;-5,71E-06;0,000469389;0;0,295739158;-3,552715113;4,42E-06;0,004485595
GW009;PET-PE (65-35);65;TRUE;FALSE;Regular;80;6;3;3;0,01;6;0,916827311;16,64855013;45,1;0,019124967;0;0,094324679;2,625713932;6,73;0,002777956;0;0,77;13,24;38,38;0,02;0;0,05;0,78;2,7;0;0,5;0,001259797;0,02134557;0,41315625;0;0;0,005591858;-2,296214333;-2,78E-06;-0,000266731;0;-0,03355661;-3,402426703;-5,58E-06;-0,001047011
GW010;PET-Elastane (65-35);145;TRUE;TRUE;Regular;80;6;3;3;0,01;6;2,252077822;38,88911579;109,94092;0,046321414;0;0,350167298;5,60494824;19,8;0,008687284;0;1,79;31,55;90,15;0,04;0;0,11;1,74;6,02;0;0,5;0,002810316;0,047617041;0,92165625;0;0;0,05469447;-4,239602188;-3,95E-06;0,000210561;0;-0,059155411;-7,255611876;-1,16E-05;-0,002034978
GW011;PET-Cotton (65-35);160;TRUE;TRUE;Regular;80;6;3;3;0,01;6;2,28235264;36,05249595;164,9422;0,048839323;0;0,230153969;3,126083176;41,7;0,007558051;0;1,93;31,01;123,23;0,04;0;0,12;1,91;6,64;0;0,5;0,003101039;0,052542942;1,017;0;0;-0,025956249;-3,769680732;-5,42E-06;-0,000966147;0;-0,130005067;-6,488327663;-1,26E-05;-0,003155628
GW012;PET-Elastane (65-35);190;TRUE;TRUE;Regular;80;6;3;3;0,01;6;3,047596401;52,50434434;149,52116;0,063093518;0;0,555437783;8,890607554;31,4;0,01377983;0;2,35;41,34;118,12;0,05;0;0,14;2,27;7,88;0;0,5;0,003682483;0,062394744;1,2076875;0;0;0,071668616;-5,555340798;-5,18E-06;0,000275907;0;-0,077513987;-9,507353492;-1,51E-05;-0,002666523
