ID,Gown,Weight,Reusable,Woven,Type,Longevity,Price,Comfort,Hygiene,Local FTE,Production-Total-Cost,Production-Total-CO2,Production-Total-Energy,Production-Total-Water,Production-Total-Recipe,Production-Raw-Cost,Production-Raw-CO2,Production-Raw-Energy,Production-Raw-Water,Production-Raw-Recipe,Production-Advanced-Cost,Production-Advanced-CO2,Production-Advanced-Energy,Production-Advanced-Water,Production-Advanced-Recipe,Production-Transport-Cost,Production-Transport-CO2,Production-Transport-Energy,Production-Transport-Water,Production-Transport-Recipe,Use-Total-Cost,Use-Total-CO2,Use-Total-Energy,Use-Total-Water,Use-Total-Recipe,LOST-Total-Cost,LOST-Total-CO2,LOST-Total-Energy,LOST-Total-Water,LOST-Total-Recipe,EOL-Total-Cost,EOL-Total-CO2,EOL-Total-Energy,EOL-Total-Water,EOL-Total-Recipe
GW001,Lyocell,300,True,True,Regular,80,6.0,4,5,1,6.0,3.248504084,52.35477153,150.07224,0.0643051,0,2.566405489,41.10339,116.18864,0.050061492,0,0.45,7.66,21.44,0.01,0.0,0.23,3.59,12.45,0.01,0.5,0.0,0.06,2.82,0.0,0.0,-0.36,-5.14,-15.29,-0.01,0.0,-0.2,-2.83,-7.87,0.0
GW002,Org Cotton,300,True,True,Bio,80,6.0,5,3,1,6.0,2.719586856,45.19691253,472.3326,0.071210622,0,0.086713437,1.43921976,179.79468,0.010203767,0,2.4,40.17,280.09,0.06,0.0,0.23,3.59,12.45,0.01,0.5,0.0,0.06,4.32,0.0,0.0,-0.37,-5.18,-15.29,-0.01,0.0,-0.2,-2.85,-7.83,0.0
GW003,Cotton GOTS,300,True,True,Regular,80,6.0,5,4,1,6.0,3.130995117,51.20502534,476.06044,0.080927834,0,0.301920113,4.5840918,173.236,0.015334819,0,2.6,43.03,290.38,0.06,0.0,0.23,3.59,12.45,0.01,0.5,0.0,0.06,4.32,0.0,0.0,-0.37,-5.18,-15.29,-0.01,0.0,-0.2,-2.85,-7.83,0.0
GW004,R-Cotton,300,True,True,Recycled,80,6.0,5,3,1,6.0,3.064757878,50.24724654,481.436,0.079811653,0,0.199753859,3.0345975,185.76456,0.012913807,0,2.64,43.62,283.23,0.06,0.0,0.23,3.59,12.45,0.01,0.5,0.0,0.06,4.32,0.0,0.0,-0.37,-5.18,-15.29,-0.01,0.0,-0.2,-2.85,-7.83,0.0
GW005,Polyester,300,True,True,Regular,80,6.0,4,4,1,6.0,5.038409626,91.31739033,256.63032,0.109802936,0,0.657,22.20021,46.8,0.018516365,0,4.15,65.53,197.35,0.09,0.0,0.23,3.59,12.45,0.01,0.5,0.0,0.05,2.82,0.0,0.0,-0.02,-8.01,-10.11,0.0,0.0,0.24,-4.41,1.43,0.0
GW006,r-Polyester,300,True,True,Recycled,80,6.0,4,4,1,6.0,4.76040143,74.08109523,230.94668,0.102696044,0,0.378991805,4.9639149,21.1,0.011409473,0,4.15,65.53,197.35,0.09,0.0,0.23,3.59,12.45,0.01,0.5,0.0,0.05,2.82,0.0,0.0,0.12,-8.01,-6.14,0.0,0.0,0.37,-4.41,5.42,0.01
GW007,PP-disposable,40,False,False,Regular,1,0.81,1,3,0,0.81,0.160800253,7.05909952,16.9,0.005116059,0,0.0652,3.2902,7.62,0.002209835,0,0.07,3.29,7.62,0.0,0.0,0.03,0.48,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-1.96,-2.72,0.0,0.0,0.05,-1.08,0.12,0.0
GW008,PET-Elastane (82-18),230,True,True,Regular,80,6.0,3,3,1,6.0,3.643100166,59.87820518,172.9048,0.074724758,0,0.456395516,6.804491999,25.4,0.011852305,0,3.01,50.32,147.45,0.06,0.0,0.17,2.75,9.54,0.0,0.5,0.0,0.08,1.46,0.0,0.0,0.09,-6.46,-5.26,0.0,0.0,0.3,-3.55,4.07,0.0
GW009,PET-PE (65-35),65,True,False,Regular,80,6.0,3,3,1,6.0,0.916827311,16.64855013,45.1,0.019124967,0,0.094324679,2.625713932,6.73,0.002777956,0,0.77,13.24,38.38,0.02,0.0,0.05,0.78,2.7,0.0,0.5,0.0,0.02,0.41,0.0,0.0,0.01,-2.3,-2.56,0.0,0.0,-0.03,-3.4,-5.13,0.0
GW010,PET-Elastane (65-35),145,True,True,Regular,80,6.0,3,3,1,6.0,2.252077822,38.88911579,109.94092,0.046321414,0,0.350167298,5.60494824,19.8,0.008687284,0,1.79,31.55,90.15,0.04,0.0,0.11,1.74,6.02,0.0,0.5,0.0,0.05,0.92,0.0,0.0,0.05,-4.24,-3.64,0.0,0.0,-0.06,-7.26,-10.63,0.0
GW011,PET-Cotton (65-35),160,True,True,Regular,80,6.0,3,3,1,6.0,2.28235264,36.05249595,164.9422,0.048839323,0,0.230153969,3.126083176,41.7,0.007558051,0,1.93,31.01,123.23,0.04,0.0,0.12,1.91,6.64,0.0,0.5,0.0,0.05,1.02,0.0,0.0,-0.03,-3.77,-4.99,0.0,0.0,-0.13,-6.49,-11.55,0.0
GW012,PET-Elastane (65-35),190,True,True,Regular,80,6.0,3,3,1,6.0,3.047596401,52.50434434,149.52116,0.063093518,0,0.555437783,8.890607554,31.4,0.01377983,0,2.35,41.34,118.12,0.05,0.0,0.14,2.27,7.88,0.0,0.5,0.0,0.06,1.21,0.0,0.0,0.07,-5.56,-4.77,0.0,0.0,-0.08,-9.51,-13.93,0.0
